Code,Element
1,Pos_Desc_Yes_Rec6_Pre
2,Pos_Desc_Yes_Rec5_Pre
3,Pos_Desc_Yes_Rec4_Pre
4,Pos_Desc_Yes_Rec3_Pre
5,Pos_Desc_Yes_Rec2_Sr6_Pre
6,Pos_Desc_Yes_Rec2_Sr5_Pre
7,Pos_Desc_Yes_Rec2_Sr4_Pre
8,Pos_Desc_Yes_Rec2_Sr3_Pre
9,Pos_Desc_Yes_Rec2_Sr2_Pre
10,Pos_Desc_Yes_Rec2_Sr1_Pre
11,Pos_Desc_Yes_Rec1_Sr6_Pre
12,Pos_Desc_Yes_Rec1_Sr5_Pre
13,Pos_Desc_Yes_Rec1_Sr4_Pre
14,Pos_Desc_Yes_Rec1_Sr3_Pre
15,Pos_Desc_Yes_Rec1_Sr2_Pre
16,Pos_Desc_Yes_Rec1_Sr1_Pre
17,Pos_Desc_No_Rec6_Pre
18,Pos_Desc_No_Rec5_Pre
19,Pos_Desc_No_Rec4_Pre
20,Pos_Desc_No_Rec3_Pre
21,Pos_Desc_No_Rec2_Sr6_Pre
22,Pos_Desc_No_Rec2_Sr5_Pre
23,Pos_Desc_No_Rec2_Sr4_Pre
24,Pos_Desc_No_Rec2_Sr3_Pre
25,Pos_Desc_No_Rec2_Sr2_Pre
26,Pos_Desc_No_Rec2_Sr1_Pre
27,Pos_Desc_No_Rec1_Sr6_Pre
28,Pos_Desc_No_Rec1_Sr5_Pre
29,Pos_Desc_No_Rec1_Sr4_Pre
30,Pos_Desc_No_Rec1_Sr3_Pre
31,Pos_Desc_No_Rec1_Sr2_Pre
32,Pos_Desc_No_Rec1_Sr1_Pre
33,Pos_Emo_Yes_Rec6_Pre
34,Pos_Emo_Yes_Rec5_Pre
35,Pos_Emo_Yes_Rec4_Pre
36,Pos_Emo_Yes_Rec3_Pre
37,Pos_Emo_Yes_Rec2_Sr6_Pre
38,Pos_Emo_Yes_Rec2_Sr5_Pre
39,Pos_Emo_Yes_Rec2_Sr4_Pre
40,Pos_Emo_Yes_Rec2_Sr3_Pre
41,Pos_Emo_Yes_Rec2_Sr2_Pre
42,Pos_Emo_Yes_Rec2_Sr1_Pre
43,Pos_Emo_Yes_Rec1_Sr6_Pre
44,Pos_Emo_Yes_Rec1_Sr5_Pre
45,Pos_Emo_Yes_Rec1_Sr4_Pre
46,Pos_Emo_Yes_Rec1_Sr3_Pre
47,Pos_Emo_Yes_Rec1_Sr2_Pre
48,Pos_Emo_Yes_Rec1_Sr1_Pre
49,Pos_Emo_No_Rec6_Pre
50,Pos_Emo_No_Rec5_Pre
51,Pos_Emo_No_Rec4_Pre
52,Pos_Emo_No_Rec3_Pre
53,Pos_Emo_No_Rec2_Sr6_Pre
54,Pos_Emo_No_Rec2_Sr5_Pre
55,Pos_Emo_No_Rec2_Sr4_Pre
56,Pos_Emo_No_Rec2_Sr3_Pre
57,Pos_Emo_No_Rec2_Sr2_Pre
58,Pos_Emo_No_Rec2_Sr1_Pre
59,Pos_Emo_No_Rec1_Sr6_Pre
60,Pos_Emo_No_Rec1_Sr5_Pre
