Code,Element
1,Old_Pos_Desc_Yes_Rec6_Pre
2,Old_Pos_Desc_Yes_Rec5_Pre
3,Old_Pos_Desc_Yes_Rec4_Pre
4,Old_Pos_Desc_Yes_Rec3_Pre
5,Old_Pos_Desc_Yes_Rec2_Sr6_Pre
6,Old_Pos_Desc_Yes_Rec2_Sr5_Pre
7,Old_Pos_Desc_Yes_Rec2_Sr4_Pre
8,Old_Pos_Desc_Yes_Rec2_Sr3_Pre
9,Old_Pos_Desc_Yes_Rec2_Sr2_Pre
10,Old_Pos_Desc_Yes_Rec2_Sr1_Pre
11,Old_Pos_Desc_Yes_Rec2_Err_Pre
12,Old_Pos_Desc_Yes_Rec1_Sr6_Pre
13,Old_Pos_Desc_Yes_Rec1_Sr5_Pre
14,Old_Pos_Desc_Yes_Rec1_Sr4_Pre
15,Old_Pos_Desc_Yes_Rec1_Sr3_Pre
16,Old_Pos_Desc_Yes_Rec1_Sr2_Pre
17,Old_Pos_Desc_Yes_Rec1_Sr1_Pre
18,Old_Pos_Desc_Yes_Rec1_Err_Pre
19,Old_Pos_Desc_No_Rec6_Pre
20,Old_Pos_Desc_No_Rec5_Pre
21,Old_Pos_Desc_No_Rec4_Pre
22,Old_Pos_Desc_No_Rec3_Pre
23,Old_Pos_Desc_No_Rec2_Sr6_Pre
24,Old_Pos_Desc_No_Rec2_Sr5_Pre
25,Old_Pos_Desc_No_Rec2_Sr4_Pre
26,Old_Pos_Desc_No_Rec2_Sr3_Pre
27,Old_Pos_Desc_No_Rec2_Sr2_Pre
28,Old_Pos_Desc_No_Rec2_Sr1_Pre
29,Old_Pos_Desc_No_Rec2_Err_Pre
30,Old_Pos_Desc_No_Rec1_Sr6_Pre
31,Old_Pos_Desc_No_Rec1_Sr5_Pre
32,Old_Pos_Desc_No_Rec1_Sr4_Pre
33,Old_Pos_Desc_No_Rec1_Sr3_Pre
34,Old_Pos_Desc_No_Rec1_Sr2_Pre
35,Old_Pos_Desc_No_Rec1_Sr1_Pre
36,Old_Pos_Desc_No_Rec1_Err_Pre
37,Old_Pos_Emo_Yes_Rec6_Pre
38,Old_Pos_Emo_Yes_Rec5_Pre
39,Old_Pos_Emo_Yes_Rec4_Pre
40,Old_Pos_Emo_Yes_Rec3_Pre
41,Old_Pos_Emo_Yes_Rec2_Sr6_Pre
42,Old_Pos_Emo_Yes_Rec2_Sr5_Pre
43,Old_Pos_Emo_Yes_Rec2_Sr4_Pre
44,Old_Pos_Emo_Yes_Rec2_Sr3_Pre
45,Old_Pos_Emo_Yes_Rec2_Sr2_Pre
46,Old_Pos_Emo_Yes_Rec2_Sr1_Pre
47,Old_Pos_Emo_Yes_Rec2_Err_Pre
48,Old_Pos_Emo_Yes_Rec1_Sr6_Pre
49,Old_Pos_Emo_Yes_Rec1_Sr5_Pre
50,Old_Pos_Emo_Yes_Rec1_Sr4_Pre
51,Old_Pos_Emo_Yes_Rec1_Sr3_Pre
52,Old_Pos_Emo_Yes_Rec1_Sr2_Pre
53,Old_Pos_Emo_Yes_Rec1_Sr1_Pre
54,Old_Pos_Emo_Yes_Rec1_Err_Pre
55,Old_Pos_Emo_No_Rec6_Pre
56,Old_Pos_Emo_No_Rec5_Pre
57,Old_Pos_Emo_No_Rec4_Pre
58,Old_Pos_Emo_No_Rec3_Pre
59,Old_Pos_Emo_No_Rec2_Sr6_Pre
60,Old_Pos_Emo_No_Rec2_Sr5_Pre
61,Old_Pos_Emo_No_Rec2_Sr4_Pre
62,Old_Pos_Emo_No_Rec2_Sr3_Pre
63,Old_Pos_Emo_No_Rec2_Sr2_Pre
64,Old_Pos_Emo_No_Rec2_Sr1_Pre
65,Old_Pos_Emo_No_Rec2_Err_Pre
66,Old_Pos_Emo_No_Rec1_Sr6_Pre
67,Old_Pos_Emo_No_Rec1_Sr5_Pre
68,Old_Pos_Emo_No_Rec1_Sr4_Pre
69,Old_Pos_Emo_No_Rec1_Sr3_Pre
70,Old_Pos_Emo_No_Rec1_Sr2_Pre
71,Old_Pos_Emo_No_Rec1_Sr1_Pre
72,Old_Pos_Emo_No_Rec1_Err_Pre
73,Old_Neg_Desc_Yes_Rec6_Pre
74,Old_Neg_Desc_Yes_Rec5_Pre
75,Old_Neg_Desc_Yes_Rec4_Pre
76,Old_Neg_Desc_Yes_Rec3_Pre
77,Old_Neg_Desc_Yes_Rec2_Sr6_Pre
78,Old_Neg_Desc_Yes_Rec2_Sr5_Pre
79,Old_Neg_Desc_Yes_Rec2_Sr4_Pre
80,Old_Neg_Desc_Yes_Rec2_Sr3_Pre
81,Old_Neg_Desc_Yes_Rec2_Sr2_Pre
82,Old_Neg_Desc_Yes_Rec2_Sr1_Pre
83,Old_Neg_Desc_Yes_Rec2_Err_Pre
84,Old_Neg_Desc_Yes_Rec1_Sr6_Pre
85,Old_Neg_Desc_Yes_Rec1_Sr5_Pre
86,Old_Neg_Desc_Yes_Rec1_Sr4_Pre
87,Old_Neg_Desc_Yes_Rec1_Sr3_Pre
88,Old_Neg_Desc_Yes_Rec1_Sr2_Pre
89,Old_Neg_Desc_Yes_Rec1_Sr1_Pre
90,Old_Neg_Desc_Yes_Rec1_Err_Pre
91,Old_Neg_Desc_No_Rec6_Pre
92,Old_Neg_Desc_No_Rec5_Pre
93,Old_Neg_Desc_No_Rec4_Pre
94,Old_Neg_Desc_No_Rec3_Pre
95,Old_Neg_Desc_No_Rec2_Sr6_Pre
96,Old_Neg_Desc_No_Rec2_Sr5_Pre
97,Old_Neg_Desc_No_Rec2_Sr4_Pre
98,Old_Neg_Desc_No_Rec2_Sr3_Pre
99,Old_Neg_Desc_No_Rec2_Sr2_Pre
100,Old_Neg_Desc_No_Rec2_Sr1_Pre
101,Old_Neg_Desc_No_Rec2_Err_Pre
102,Old_Neg_Desc_No_Rec1_Sr6_Pre
103,Old_Neg_Desc_No_Rec1_Sr5_Pre
104,Old_Neg_Desc_No_Rec1_Sr4_Pre
105,Old_Neg_Desc_No_Rec1_Sr3_Pre
106,Old_Neg_Desc_No_Rec1_Sr2_Pre
107,Old_Neg_Desc_No_Rec1_Sr1_Pre
108,Old_Neg_Desc_No_Rec1_Err_Pre
109,Old_Neg_Emo_Yes_Rec6_Pre
110,Old_Neg_Emo_Yes_Rec5_Pre
111,Old_Neg_Emo_Yes_Rec4_Pre
112,Old_Neg_Emo_Yes_Rec3_Pre
113,Old_Neg_Emo_Yes_Rec2_Sr6_Pre
114,Old_Neg_Emo_Yes_Rec2_Sr5_Pre
115,Old_Neg_Emo_Yes_Rec2_Sr4_Pre
116,Old_Neg_Emo_Yes_Rec2_Sr3_Pre
117,Old_Neg_Emo_Yes_Rec2_Sr2_Pre
118,Old_Neg_Emo_Yes_Rec2_Sr1_Pre
119,Old_Neg_Emo_Yes_Rec2_Err_Pre
120,Old_Neg_Emo_Yes_Rec1_Sr6_Pre
121,Old_Neg_Emo_Yes_Rec1_Sr5_Pre
122,Old_Neg_Emo_Yes_Rec1_Sr4_Pre
123,Old_Neg_Emo_Yes_Rec1_Sr3_Pre
124,Old_Neg_Emo_Yes_Rec1_Sr2_Pre
125,Old_Neg_Emo_Yes_Rec1_Sr1_Pre
126,Old_Neg_Emo_Yes_Rec1_Err_Pre
127,Old_Neg_Emo_No_Rec6_Pre
128,Old_Neg_Emo_No_Rec5_Pre
129,Old_Neg_Emo_No_Rec4_Pre
130,Old_Neg_Emo_No_Rec3_Pre
131,Old_Neg_Emo_No_Rec2_Sr6_Pre
132,Old_Neg_Emo_No_Rec2_Sr5_Pre
133,Old_Neg_Emo_No_Rec2_Sr4_Pre
134,Old_Neg_Emo_No_Rec2_Sr3_Pre
135,Old_Neg_Emo_No_Rec2_Sr2_Pre
136,Old_Neg_Emo_No_Rec2_Sr1_Pre
137,Old_Neg_Emo_No_Rec2_Err_Pre
138,Old_Neg_Emo_No_Rec1_Sr6_Pre
139,Old_Neg_Emo_No_Rec1_Sr5_Pre
140,Old_Neg_Emo_No_Rec1_Sr4_Pre
141,Old_Neg_Emo_No_Rec1_Sr3_Pre
142,Old_Neg_Emo_No_Rec1_Sr2_Pre
143,Old_Neg_Emo_No_Rec1_Sr1_Pre
144,Old_Neg_Emo_No_Rec1_Err_Pre
145,New_Pos_Rec6_Pre
146,New_Pos_Rec5_Pre
147,New_Pos_Rec4_Pre
148,New_Pos_Rec3_Pre
149,New_Pos_Rec2_Sr6_Pre
150,New_Pos_Rec2_Sr5_Pre
151,New_Pos_Rec2_Sr4_Pre
152,New_Pos_Rec2_Sr3_Pre
153,New_Pos_Rec2_Sr2_Pre
154,New_Pos_Rec2_Sr1_Pre
